category,service,price,billingCycle,id
tis changed hahahahaha,Custom landing page design & development,2500.0,One-off,
Web Development and related shit necessary,E-commerce store setup with payment integration,8000.0,One-off,
Web Development and related shit necessary,Progressive web app development,12000.0,One-off,
Web Development and related shit necessary,API integration & backend services,5000.0,Monthly,
Web Development and related shit necessary,Website performance optimization,1500.0,Monthly,
Mobile Apps,iOS native application development,25000.0,One-off,
Mobile Apps,Android native application development,22000.0,One-off,
Mobile Apps,Cross-platform React Native app,18000.0,One-off,
Mobile Apps,App store submission & optimization,800.0,One-off,
Mobile Apps,Push notification system integration,2000.0,Monthly,
Brand Identity,Logo design with brand guidelines,3500.0,One-off,
Brand Identity,Complete visual identity package,8000.0,One-off,
Brand Identity,Brand strategy & positioning,5000.0,One-off,
Brand Identity,Stationery & collateral design,2000.0,One-off,
UI/UX Design,User research & persona development,4000.0,One-off,
UI/UX Design,Wireframing & prototyping,3500.0,One-off,
UI/UX Design,High-fidelity UI design,6000.0,One-off,
UI/UX Design,Design system creation,8000.0,Yearly,
UI/UX Design,Usability testing & iteration,3000.0,Monthly,
Marketing,Social media strategy & management,2500.0,Monthly,
Marketing,Content marketing & copywriting,3000.0,Monthly,
Marketing,SEO optimization package,4000.0,Monthly,
Marketing,Email marketing campaigns,1800.0,Monthly,
Marketing,Paid advertising management,2000.0,Quarterly,
Consulting,Technical architecture review,3500.0,One-off,
Consulting,Digital transformation strategy,10000.0,One-off,
Consulting,Product roadmap planning,5000.0,One-off,
Consulting,Team training & workshops,2500.0,One-off,
Cloud Services,AWS/GCP infrastructure setup,6000.0,One-off,
Cloud Services,CI/CD pipeline implementation,4000.0,One-off,
Cloud Services,Database design & optimization,5000.0,Monthly,
Cloud Services,Security audit & hardening,7000.0,Quarterly,
Cloud Services,24/7 monitoring & maintenance,3000.0,Monthly,
Analytics,Analytics setup & configuration,2000.0,One-off,
Analytics,Custom dashboard development,4500.0,One-off,
Analytics,Data visualization & reporting,3500.0,Monthly,
Analytics,Conversion optimization,3000.0,Monthly,
Brand Identity,efgsd,33434.0,One-off,
Brand Identity,wdsfasdf,23423.0,One-off,
